businessid,target_schemes_count,milestones_achieved_count,total_jc_earned
BZID-1304396812,3,0,0.000000
BZID-1304461877,2,2,160.000000
BZID-1304435028,4,2,120.000000
BZID-1304466704,7,6,3410.000000
BZID-1304449158,2,1,20.000000
BZID-1304461941,2,0,0.000000
BZID-1304451789,2,0,0.000000
BZID-1304377711,1,1,135.000000
BZID-1304473374,2,1,40.000000
BZID-1304437923,2,1,80.000000
BZID-1304433317,2,2,125.000000
BZID-1304471212,6,2,80.000000
BZID-1304470371,2,0,0.000000
BZID-1304471826,4,4,5395.000000
BZID-1304469178,5,2,125.000000
BZID-1304463292,4,3,120.000000
BZID-1304462774,2,1,40.000000
BZID-1304464451,3,1,710.000000
BZID-1304469924,3,1,200.000000
BZID-1304449681,4,2,270.000000
BZID-1304409185,2,2,260.000000
BZID-1304469237,5,1,80.000000
BZID-1304435316,6,4,435.000000
BZID-1304471882,3,2,35.000000
BZID-1304471840,4,0,0.000000
BZID-1304473098,3,1,135.000000
BZID-1304449629,2,1,135.000000
BZID-1304417044,9,6,1225.000000
BZID-1304472055,8,4,805.000000
BZID-1304453639,2,1,435.000000
BZID-1304480068,2,1,350.000000
BZID-1304407505,2,1,200.000000
BZID-1304428859,2,1,150.000000
BZID-1304408207,2,1,125.000000
BZID-1304463974,2,1,200.000000
BZID-1304431394,2,0,0.000000
BZID-1304469914,1,0,0.000000
BZID-1304425207,3,1,125.000000
BZID-1304368444,3,2,350.000000
BZID-1304421847,3,2,335.000000
BZID-1304463278,3,3,320.000000
BZID-1304466360,6,2,250.000000
BZID-1304479712,4,1,50.000000
BZID-1304465466,5,2,785.000000
BZID-1304463705,3,0,0.000000
BZID-1304450523,4,1,5.000000
BZID-1304466229,3,0,0.000000
BZID-1304427460,2,1,200.000000
BZID-1304478598,5,3,45.000000
BZID-1304466818,2,0,0.000000
BZID-1304412595,5,2,140.000000
BZID-1304451666,3,3,1450.000000
BZID-1304478052,3,3,710.000000
BZID-1304472524,3,3,1760.000000
