businessid,null_search_cnt
BZID-1304351597,1
BZID-1304351601,3
BZID-1304351607,19
BZID-1304351608,47
BZID-1304351610,2
BZID-1304351611,2
BZID-1304351614,1
BZID-1304351616,1
BZID-1304351618,2
BZID-1304351620,1
BZID-1304351623,6
BZID-1304351627,9
BZID-1304351633,2
BZID-1304351638,1
BZID-1304351641,4
BZID-1304351645,14
BZID-1304351646,2
BZID-1304351648,1
BZID-1304351655,2
BZID-1304351659,5
BZID-1304351663,1
BZID-1304351667,2
BZID-1304351676,3
BZID-1304351678,8
BZID-1304351681,6
BZID-1304351684,1
BZID-1304351687,1
BZID-1304351695,1
BZID-1304351702,2
BZID-1304351704,5
BZID-1304351708,2
BZID-1304351711,2
BZID-1304351712,1
BZID-1304351715,5
BZID-1304351718,1
BZID-1304351723,3
BZID-1304351724,2
BZID-1304351730,4
BZID-1304351731,1
BZID-1304351732,4
BZID-1304351735,1
BZID-1304351737,5
BZID-1304351738,1
BZID-1304351741,1
BZID-1304351742,3
BZID-1304351745,2
BZID-1304351748,4
BZID-1304351752,2
BZID-1304351753,4
BZID-1304351754,1
BZID-1304351755,1
BZID-1304351759,20
BZID-1304351764,9
BZID-1304351765,2
BZID-1304351768,1
BZID-1304351769,1
BZID-1304351770,2
BZID-1304351775,1
BZID-1304351776,1
BZID-1304351778,5
BZID-1304351781,2
BZID-1304351782,11
BZID-1304351786,3
BZID-1304351788,1
BZID-1304351790,1
BZID-1304351791,2
BZID-1304351792,1
BZID-1304351795,7
BZID-1304351797,6
BZID-1304351798,5
BZID-1304351806,2
BZID-1304351807,2
BZID-1304351811,2
BZID-1304351812,6
BZID-1304351813,2
BZID-1304351816,1
BZID-1304351819,1
BZID-1304351822,4
BZID-1304351823,7
BZID-1304351833,6
BZID-1304351835,7
BZID-1304351839,2
BZID-1304351840,1
BZID-1304351842,1
BZID-1304351844,2
BZID-1304351845,1
BZID-1304351847,4
BZID-1304351848,10
BZID-1304351852,3
BZID-1304351855,3
BZID-1304351856,1
BZID-1304351858,4
BZID-1304351859,4
BZID-1304351861,16
BZID-1304351862,6
BZID-1304351865,3
BZID-1304351871,4
BZID-1304351872,1
BZID-1304351877,1
BZID-1304351880,4
BZID-1304351882,2
BZID-1304351883,20
BZID-1304351888,4
BZID-1304351889,9
BZID-1304351891,3
BZID-1304351892,4
BZID-1304351894,4
BZID-1304351897,3
BZID-1304351899,3
BZID-1304351900,2
BZID-1304351901,3
BZID-1304351903,3
BZID-1304351908,1
BZID-1304351914,1
BZID-1304351918,1
BZID-1304351928,1
BZID-1304351929,5
BZID-1304351930,4
BZID-1304351936,1
BZID-1304351937,1
BZID-1304351938,1
BZID-1304351939,30
BZID-1304351940,1
BZID-1304351941,5
BZID-1304351945,5
BZID-1304351947,5
BZID-1304351948,1
BZID-1304351952,7
BZID-1304351953,1
BZID-1304351961,41
BZID-1304351964,4
BZID-1304351965,7
BZID-1304351968,4
BZID-1304351972,3
BZID-1304351973,1
BZID-1304351976,1
BZID-1304351977,44
BZID-1304351978,4
BZID-1304351980,10
BZID-1304351981,2
BZID-1304351983,1
BZID-1304351985,2
BZID-1304351987,2
BZID-1304351989,6
BZID-1304351993,1
BZID-1304351998,3
BZID-1304351999,1
BZID-1304352035,2
BZID-1304352037,4
BZID-1304352045,1
BZID-1304352046,3
BZID-1304352049,1
BZID-1304352059,5
BZID-1304352063,5
BZID-1304352065,10
BZID-1304352073,2
BZID-1304352075,2
BZID-1304352078,2
BZID-1304352082,1
BZID-1304352088,8
BZID-1304352091,6
BZID-1304352094,2
BZID-1304352095,2
BZID-1304352096,15
BZID-1304352099,1
BZID-1304352114,1
BZID-1304352128,14
BZID-1304352129,4
BZID-1304352130,6
BZID-1304352134,1
BZID-1304352137,2
BZID-1304352140,15
BZID-1304352141,1
BZID-1304352145,1
BZID-1304352147,6
BZID-1304352149,3
BZID-1304352151,2
BZID-1304352153,3
BZID-1304352170,2
BZID-1304352172,28
BZID-1304352174,3
BZID-1304352175,5
BZID-1304352179,2
BZID-1304352181,7
BZID-1304352182,5
BZID-1304352184,1
BZID-1304352185,3
BZID-1304352187,1
BZID-1304352188,1
BZID-1304352199,3
BZID-1304352206,14
BZID-1304352209,3
BZID-1304352212,2
BZID-1304352214,2
BZID-1304352217,15
BZID-1304352222,1
BZID-1304352227,7
BZID-1304352229,2
BZID-1304352230,2
BZID-1304352233,1
BZID-1304352239,4
BZID-1304352240,5
BZID-1304352244,3
BZID-1304352249,1
BZID-1304352252,2
BZID-1304352253,8
BZID-1304352254,4
BZID-1304352258,1
BZID-1304352263,3
BZID-1304352267,1
BZID-1304352269,3
BZID-1304352277,2
BZID-1304352284,41
BZID-1304352290,1
BZID-1304352292,3
BZID-1304352293,4
BZID-1304352294,2
BZID-1304352298,4
BZID-1304352307,9
BZID-1304352311,1
BZID-1304352322,7
BZID-1304352327,2
BZID-1304352370,2
BZID-1304352372,1
BZID-1304352384,2
BZID-1304352391,1
BZID-1304352398,2
BZID-1304352400,3
BZID-1304352404,1
BZID-1304352405,1
BZID-1304352409,16
BZID-1304352412,4
BZID-1304352413,2
BZID-1304352416,1
BZID-1304352425,1
BZID-1304352426,4
BZID-1304352427,2
BZID-1304352437,2
BZID-1304352442,1
BZID-1304352447,14
BZID-1304352451,8
BZID-1304352462,1
BZID-1304352468,1
