businessid,rating_cnt,avg_rating
BZID-1304401901,8,4
BZID-1304604847,2,4
BZID-1304603827,16,3
BZID-1304606130,5,3
BZID-1304366751,3,3
BZID-1304608814,4,1
BZID-1304479032,1,1
BZID-1304428124,1,5
BZID-1304426632,1,5
BZID-1304416932,4,5
BZID-1304445303,50,5
BZID-1304472897,164,5
BZID-1304419020,170,5
BZID-1304441454,1,4
BZID-1304407550,5,3
BZID-1304476166,1,3
BZID-1304410110,1,5
BZID-1304426063,9,3
BZID-1304445893,5,3
BZID-1304462000,4,5
BZID-1304463069,5,3
BZID-1304465178,17,5
BZID-1304426666,1,5
BZID-1304403873,19,1
BZID-1304393805,8,3
BZID-1304388471,1,5
BZID-1304374539,1,4
BZID-1304464740,37,5
BZID-1304357671,23,5
BZID-1304357507,2,5
BZID-1304363466,5,3
BZID-1304370960,1,5
BZID-1304351003,4,5
BZID-1304349234,37,2
BZID-1304353572,1,4
BZID-1304371657,8,4
BZID-1304414560,1,5
BZID-1304457876,24,5
BZID-1304476015,31,5
BZID-1304461788,300,5
BZID-1304465623,3,3
BZID-1304470676,1,5
BZID-1304427087,7,5
BZID-1304464470,5,4
BZID-1304399774,25,4
BZID-1304461735,1,5
BZID-1304401927,1,5
BZID-1304408619,3,5
BZID-1304405902,4,3
BZID-1304390086,2,4
BZID-1304396046,260,5
BZID-1304379506,2,4
BZID-1304380384,21,5
BZID-1304371793,10,3
BZID-1304372689,56,3
BZID-1304361822,27,2
BZID-1304361641,2,5
BZID-1304364640,53,5
BZID-1304396251,17,4
BZID-1304351747,53,4
BZID-1304357189,9,5
BZID-1304604470,3,5
BZID-1304609127,1,5
BZID-1304607547,5,3
BZID-1304607316,3,3
BZID-1304414064,3,5
BZID-1304596558,1,5
BZID-1304604080,26,3
BZID-1304409794,100,5
BZID-1304478862,12,3
BZID-1304427725,1,5
BZID-1304407944,21,3
BZID-1304417533,1,4
BZID-1304478508,1,1
BZID-1304402364,1,1
BZID-1304466418,9,4
BZID-1304479056,6,3
BZID-1304425654,100,5
BZID-1304398267,1,2
BZID-1304389373,62,5
BZID-1304388277,10,3
BZID-1304375247,3,5
BZID-1304367273,8,3
BZID-1304365619,1,5
BZID-1304369308,156,3
BZID-1304369842,1,5
BZID-1304408771,1,1
BZID-1304364880,16,5
BZID-1304362735,2,3
BZID-1304352685,2,5
BZID-1304608252,5,5
BZID-1304608439,10,3
BZID-1304480206,2,5
BZID-1304459977,1,5
BZID-1304469038,1,5
BZID-1304447124,4,3
BZID-1304477254,6,5
BZID-1304466723,57,5
BZID-1304436118,1,5
BZID-1304393945,9,5
BZID-1304386915,9,5
BZID-1304389595,1,5
BZID-1304374587,12,5
BZID-1304458050,6,5
BZID-1304381095,2,5
BZID-1304369578,95,3
BZID-1304368039,13,5
BZID-1304360513,4,3
BZID-1304361455,20,5
BZID-1304361073,12,4
BZID-1304359738,3,4
BZID-1304359660,11,3
BZID-1304360414,1,3
BZID-1304362650,5,5
BZID-1304362319,3,5
BZID-1304362028,10,3
BZID-1304363665,30,4
BZID-1304364277,4,4
BZID-1304371148,1,1
BZID-1304353752,4,4
BZID-1304407394,54,3
BZID-1304466501,1,5
BZID-1304431720,4,4
BZID-1304414991,5,5
BZID-1304449042,1,5
BZID-1304424649,10,4
BZID-1304476046,81,5
BZID-1304474784,2,4
BZID-1304472167,1,5
BZID-1304457108,5,5
BZID-1304477081,16,5
BZID-1304479952,8,5
BZID-1304474808,1,5
BZID-1304402715,2,5
BZID-1304443413,5,3
BZID-1304395509,2,4
BZID-1304397260,12,5
BZID-1304384390,1,5
BZID-1304388375,18,3
BZID-1304397821,1,1
BZID-1304366023,5,4
BZID-1304358434,1,4
BZID-1304359538,3,5
BZID-1304350994,1,5
BZID-1304356275,1,3
BZID-1304604814,3,4
BZID-1304607189,4,3
BZID-1304607418,1,5
BZID-1304382425,11,5
BZID-1304439596,4,4
BZID-1304398723,47,5
BZID-1304442078,1,5
BZID-1304463438,8,4
BZID-1304416132,1,5
BZID-1304427088,1,1
BZID-1304449006,104,4
BZID-1304448642,3,4
BZID-1304463938,22,5
BZID-1304471242,41,3
BZID-1304427086,2,4
BZID-1304470780,19,5
BZID-1304476977,31,3
BZID-1304438827,11,3
BZID-1304430644,54,4
BZID-1304477639,2,5
BZID-1304402650,5,5
BZID-1304385177,28,5
BZID-1304384480,5,3
BZID-1304406379,1,5
BZID-1304376730,6,5
BZID-1304379763,1,4
BZID-1304381896,1,5
BZID-1304365852,1,5
BZID-1304372401,2,5
BZID-1304360384,10,5
BZID-1304363498,2,4
BZID-1304364985,19,5
BZID-1304400921,54,5
BZID-1304352290,9,5
BZID-1304351561,1,5
BZID-1304353540,3,4
BZID-1304370904,10,4
BZID-1304408089,1,5
BZID-1304364801,1,5
BZID-1304474982,3,5
BZID-1304427265,7,5
BZID-1304450312,2,5
