businessid,total_visits
BZID-1304460477,1
BZID-1304426890,1
BZID-1304412383,2
BZID-1304405258,1
BZID-1304460560,1
BZID-1304413504,1
BZID-1304368102,1
BZID-1304447753,1
BZID-1304385624,2
BZID-1304387161,2
BZID-1304411572,2
BZID-1304414694,1
BZID-1304380238,1
BZID-1304452959,1
BZID-1304365091,2
BZID-1304418754,2
BZID-1304378959,2
BZID-1304400874,1
BZID-1304458333,1
BZID-1304411188,1
BZID-1304377879,1
BZID-1304443790,1
BZID-1304358420,1
BZID-1304376730,1
BZID-1304387085,1
BZID-1304384810,3
BZID-1304366072,1
BZID-1304441980,1
BZID-1304363283,1
BZID-1304428755,1
BZID-1304427712,2
BZID-1304401630,1
BZID-1304391572,2
BZID-1304389960,1
BZID-1304417797,1
BZID-1304471604,1
BZID-1304412360,1
BZID-1304370242,1
BZID-1304405250,1
BZID-1304417145,2
BZID-1304404327,2
BZID-1304449219,1
BZID-1304402511,2
BZID-1304461609,1
BZID-1304384040,1
BZID-1304360462,1
BZID-1304365013,1
BZID-1304474831,2
BZID-1304363497,2
BZID-1304477233,1
BZID-1304433575,1
BZID-1304422393,1
BZID-1304374197,1
BZID-1304389966,1
BZID-1304412775,1
BZID-1304389650,1
BZID-1304459945,2
BZID-1304420830,1
BZID-1304410520,2
BZID-1304474385,1
BZID-1304374108,2
BZID-1304471242,1
BZID-1304363260,1
BZID-1304463938,1
BZID-1304429584,1
BZID-1304362264,2
BZID-1304447167,1
BZID-1304410553,1
BZID-1304421388,1
BZID-1304398336,1
BZID-1304406037,1
BZID-1304398520,1
BZID-1304478061,1
BZID-1304477304,1
BZID-1304436461,1
BZID-1304382586,2
BZID-1304385444,1
BZID-1304463438,1
BZID-1304460996,1
BZID-1304373934,1
BZID-1304457951,1
BZID-1304464707,1
BZID-1304399537,1
BZID-1304368679,1
BZID-1304401348,1
BZID-1304412968,1
BZID-1304366489,1
BZID-1304456171,1
BZID-1304414340,2
BZID-1304395852,2
BZID-1304385495,1
BZID-1304476678,1
BZID-1304413586,1
BZID-1304469543,1
BZID-1304424525,1
BZID-1304353734,1
BZID-1304420848,1
BZID-1304414909,2
BZID-1304410389,1
BZID-1304474429,2
BZID-1304423341,1
BZID-1304426614,1
BZID-1304350677,1
BZID-1304417433,1
BZID-1304405800,1
BZID-1304479203,2
BZID-1304399584,1
BZID-1304408384,2
BZID-1304384141,1
BZID-1304439036,1
BZID-1304389082,1
BZID-1304447374,1
BZID-1304430302,1
BZID-1304470676,2
BZID-1304384454,1
BZID-1304419093,1
BZID-1304419489,1
BZID-1304436711,1
BZID-1304383879,1
BZID-1304419146,1
BZID-1304448667,1
BZID-1304410297,1
BZID-1304413053,1
BZID-1304457666,1
BZID-1304420436,1
BZID-1304357645,2
BZID-1304365945,1
BZID-1304462522,1
BZID-1304362323,1
BZID-1304472007,1
BZID-1304453538,1
BZID-1304460778,1
BZID-1304375406,1
BZID-1304421132,1
BZID-1304406470,1
BZID-1304419405,1
BZID-1304469101,1
BZID-1304446151,1
BZID-1304363294,2
BZID-1304415520,2
BZID-1304385885,1
BZID-1304383215,1
BZID-1304420423,1
BZID-1304438358,1
BZID-1304374508,1
BZID-1304386097,1
BZID-1304399323,1
BZID-1304413215,1
BZID-1304424500,1
BZID-1304460170,1
BZID-1304462663,2
BZID-1304453146,1
BZID-1304373714,1
BZID-1304397260,1
BZID-1304404602,1
BZID-1304477639,1
BZID-1304357076,1
BZID-1304428103,1
BZID-1304364325,1
BZID-1304405104,1
BZID-1304445442,1
BZID-1304413384,1
BZID-1304409054,2
BZID-1304463351,1
BZID-1304361218,2
BZID-1304390203,1
BZID-1304438415,1
BZID-1304420001,1
BZID-1304423223,1
BZID-1304441067,1
BZID-1304419304,1
BZID-1304390799,1
BZID-1304425175,1
BZID-1304430626,1
BZID-1304409560,1
BZID-1304418429,1
BZID-1304404127,1
BZID-1304414568,1
BZID-1304459257,1
BZID-1304406235,1
BZID-1304359061,1
BZID-1304438738,1
BZID-1304456709,1
BZID-1304478582,2
BZID-1304420918,2
BZID-1304448716,1
BZID-1304390865,1
BZID-1304383143,1
BZID-1304445420,1
BZID-1304417133,1
BZID-1304430889,1
BZID-1304435215,1
BZID-1304424964,1
BZID-1304364724,1
BZID-1304395829,1
BZID-1304448488,1
BZID-1304424915,1
BZID-1304411565,1
BZID-1304383965,2
BZID-1304356935,1
BZID-1304447561,1
BZID-1304423693,1
BZID-1304418055,1
BZID-1304462234,1
BZID-1304387498,1
BZID-1304438449,1
BZID-1304375064,1
BZID-1304423079,1
BZID-1304377828,1
BZID-1304410203,1
BZID-1304433325,1
BZID-1304415600,2
BZID-1304418921,1
BZID-1304402547,1
BZID-1304398817,1
BZID-1304476977,1
BZID-1304418398,1
BZID-1304353269,1
BZID-1304452013,1
BZID-1304418109,1
BZID-1304443720,1
BZID-1304477663,1
BZID-1304380517,2
BZID-1304409584,1
BZID-1304409784,1
BZID-1304416601,1
BZID-1304416916,1
BZID-1304468729,1
BZID-1304477459,2
BZID-1304399678,1
BZID-1304397109,1
BZID-1304410652,1
BZID-1304413386,1
BZID-1304367767,1
BZID-1304429902,2
BZID-1304354776,1
BZID-1304415475,1
BZID-1304428663,1
BZID-1304396054,1
BZID-1304393045,1
BZID-1304375732,1
BZID-1304429784,1
BZID-1304428033,1
BZID-1304458647,1
BZID-1304407632,1
BZID-1304458405,1
BZID-1304392548,1
BZID-1304396021,1
BZID-1304412932,1
BZID-1304424199,1
BZID-1304386369,1
BZID-1304405562,1
BZID-1304368777,1
BZID-1304435166,1
BZID-1304456406,1
BZID-1304461763,1
BZID-1304434793,1
BZID-1304351679,1
BZID-1304449381,1
BZID-1304395640,1
BZID-1304362354,1
BZID-1304472167,1
BZID-1304415720,1
BZID-1304407141,1
BZID-1304410649,2
BZID-1304416887,1
BZID-1304449232,1
BZID-1304472563,1
BZID-1304438146,1
BZID-1304372393,1
BZID-1304400540,1
BZID-1304413627,1
BZID-1304442937,1
BZID-1304374441,2
BZID-1304436118,1
BZID-1304375247,1
BZID-1304368720,1
BZID-1304377919,1
BZID-1304376350,1
BZID-1304448652,1
BZID-1304429351,1
BZID-1304419329,1
BZID-1304412402,1
BZID-1304436988,1
BZID-1304448855,2
BZID-1304448543,1
BZID-1304406982,1
BZID-1304427381,1
BZID-1304406670,1
BZID-1304418857,1
BZID-1304382842,1
BZID-1304453648,1
BZID-1304410889,1
BZID-1304417079,1
BZID-1304393168,1
BZID-1304417697,1
BZID-1304414565,1
BZID-1304408376,1
