businessid,rating_cnt,avg_rating
BZID-1304370844,1,5
BZID-1304561771,11,3
BZID-1304460375,5,5
BZID-1304429716,14,4
BZID-1304479506,4,4
BZID-1304401315,23,5
BZID-1304427356,2,5
BZID-1304407980,15,2
BZID-1304434573,2,1
BZID-1304417459,6,5
BZID-1304469872,1,5
BZID-1304461337,10,4
BZID-1304466770,5,5
BZID-1304455941,3,5
BZID-1304469245,23,5
BZID-1304480235,10,4
BZID-1304474837,2,3
BZID-1304466659,26,4
BZID-1304465187,5,3
BZID-1304475169,5,3
BZID-1304412244,3,2
BZID-1304426936,6,3
BZID-1304401146,2,5
BZID-1304477336,13,3
BZID-1304390747,10,3
BZID-1304375361,34,3
BZID-1304449794,15,4
BZID-1304379372,1,5
BZID-1304376386,28,4
BZID-1304366996,3,3
BZID-1304375022,330,3
BZID-1304356725,5,4
BZID-1304442020,23,3
BZID-1304355640,12,5
BZID-1304391262,2,1
BZID-1304563922,5,3
BZID-1304568313,12,4
BZID-1304559287,3,4
BZID-1304471301,1,5
BZID-1304428184,14,5
BZID-1304475115,26,4
BZID-1304401358,2,3
BZID-1304449687,55,5
BZID-1304450415,3,5
BZID-1304467888,1,5
BZID-1304479062,20,5
BZID-1304424950,25,3
BZID-1304472209,3,5
BZID-1304469408,1,4
BZID-1304417865,2,5
BZID-1304449562,4,5
BZID-1304465355,5,5
BZID-1304393464,4,3
BZID-1304393585,6,4
BZID-1304393129,1,4
BZID-1304374994,20,3
BZID-1304374645,5,5
BZID-1304379119,4,1
BZID-1304373186,6,3
BZID-1304365303,1,5
BZID-1304413561,18,5
BZID-1304381084,1,5
BZID-1304357251,1,5
BZID-1304355691,1,4
BZID-1304604296,25,5
BZID-1304605139,30,5
BZID-1304603946,5,5
BZID-1304603762,3,5
BZID-1304606223,22,5
BZID-1304608385,5,4
BZID-1304611290,3,3
BZID-1304577794,22,5
BZID-1304563893,8,5
BZID-1304563424,5,5
BZID-1304556348,3,4
BZID-1304560689,5,3
BZID-1304400124,1,5
BZID-1304428209,18,4
BZID-1304436113,8,4
BZID-1304450898,1,4
BZID-1304434626,2,5
BZID-1304419113,84,4
BZID-1304590791,80,3
BZID-1304373635,38,5
BZID-1304557941,88,3
BZID-1304428996,15,3
BZID-1304462688,1,5
BZID-1304411259,1,5
BZID-1304479460,3,5
BZID-1304456757,59,3
BZID-1304437777,1,5
BZID-1304416822,2,2
BZID-1304463885,141,4
BZID-1304472261,3,5
BZID-1304436146,2,4
BZID-1304399454,1,5
BZID-1304396563,74,3
BZID-1304382123,9,4
BZID-1304387234,10,4
BZID-1304387299,5,5
BZID-1304395401,2,4
BZID-1304381149,3,5
BZID-1304375276,2,5
BZID-1304358255,1,4
BZID-1304357519,1,1
BZID-1304349360,25,3
BZID-1304403578,1,5
BZID-1304577168,1,5
BZID-1304566589,7,4
BZID-1304569487,3,4
BZID-1304549364,3,5
BZID-1304542420,1,4
BZID-1304434752,45,5
BZID-1304401368,2,5
BZID-1304437965,24,4
BZID-1304450028,1,5
BZID-1304411987,10,1
BZID-1304447292,2,5
BZID-1304447035,56,5
BZID-1304428887,1,5
BZID-1304427143,57,5
BZID-1304432730,2,5
BZID-1304397735,3,5
BZID-1304386110,3,2
BZID-1304379635,3,5
BZID-1304378273,1,5
BZID-1304384916,1,1
BZID-1304358540,13,4
BZID-1304361188,25,5
BZID-1304362601,155,3
BZID-1304604931,21,4
BZID-1304353258,1,4
BZID-1304566619,1,4
BZID-1304566517,1,5
BZID-1304558077,14,3
BZID-1304430648,62,3
BZID-1304434994,10,5
BZID-1304472286,1,5
BZID-1304469115,1,1
BZID-1304407906,9,5
BZID-1304466328,2,4
BZID-1304475486,49,4
BZID-1304478556,71,3
BZID-1304438461,2,5
BZID-1304445653,9,5
BZID-1304467585,1,1
BZID-1304470519,22,5
BZID-1304430087,1,5
BZID-1304410733,9,4
BZID-1304392033,4,5
BZID-1304395467,1,1
BZID-1304397105,1,1
BZID-1304459308,2,5
BZID-1304387449,41,4
BZID-1304377926,11,3
BZID-1304411961,25,5
BZID-1304371104,1,5
BZID-1304370693,1,5
BZID-1304371691,2,5
BZID-1304358207,10,3
BZID-1304358102,15,4
BZID-1304361261,6,5
BZID-1304350822,1,4
BZID-1304359653,5,5
BZID-1304606834,18,4
BZID-1304609925,7,5
BZID-1304595256,15,3
BZID-1304597269,2,3
BZID-1304600549,1,5
BZID-1304416639,32,4
BZID-1304469092,35,5
BZID-1304425953,3,5
BZID-1304424299,5,3
BZID-1304429598,37,5
BZID-1304418702,5,5
BZID-1304453744,2,5
BZID-1304459204,2,5
BZID-1304478876,1,5
BZID-1304463906,25,5
