business_id,sc_points_red,sc_rewards_count
BZID-1304465724,32500.0,1
BZID-1304422748,1300.0,1
BZID-1304422989,8700.0,2
BZID-1304479398,3800.0,1
BZID-1304443260,4700.0,2
BZID-1304475970,2100.0,1
BZID-1304456419,1300.0,1
BZID-1304479218,2700.0,1
BZID-1304470293,1200.0,1
BZID-1304428769,1200.0,1
BZID-1304425916,1200.0,1
BZID-1304436262,2250.0,1
BZID-1304476497,3500.0,1
BZID-1304401666,1200.0,1
BZID-1304476688,9000.0,1
BZID-1304466579,2250.0,1
BZID-1304471718,3300.0,2
BZID-1304457107,9000.0,1
BZID-1304463694,3500.0,1
BZID-1304446606,5200.0,2
BZID-1304475648,1300.0,1
BZID-1304472529,1200.0,1
BZID-1304477901,1750.0,2
BZID-1304430151,550.0,1
BZID-1304449146,1300.0,1
BZID-1304475136,65000.0,1
BZID-1304462341,550.0,1
BZID-1304459870,2100.0,1
BZID-1304477109,10500.0,1
BZID-1304477355,25550.0,2
BZID-1304464364,3050.0,3
BZID-1304475279,13500.0,2
BZID-1304471154,9000.0,1
BZID-1304449663,1200.0,1
BZID-1304416023,550.0,1
BZID-1304479629,10200.0,2
BZID-1304467539,10500.0,1
BZID-1304460823,3200.0,1
BZID-1304431765,3800.0,1
BZID-1304436493,550.0,1
BZID-1304471045,3200.0,1
BZID-1304468722,32500.0,1
BZID-1304472751,2000.0,1
BZID-1304460757,1200.0,1
BZID-1304456121,3200.0,1
BZID-1304448832,1200.0,1
BZID-1304480250,16500.0,1
BZID-1304460494,2100.0,1
BZID-1304472695,1200.0,1
BZID-1304450475,2000.0,1
BZID-1304444449,2250.0,1
BZID-1304435767,550.0,1
BZID-1304417556,1200.0,1
BZID-1304428802,1200.0,1
BZID-1304425891,1200.0,1
BZID-1304476903,1200.0,1
BZID-1304456609,2000.0,1
BZID-1304446814,550.0,1
BZID-1304477608,1200.0,1
BZID-1304470453,5000.0,1
BZID-1304472213,32500.0,1
BZID-1304474994,40100.0,2
BZID-1304437985,550.0,1
BZID-1304462007,1200.0,1
BZID-1304390728,550.0,1
BZID-1304426148,550.0,1
BZID-1304478934,1200.0,1
BZID-1304425074,1200.0,1
BZID-1304480104,5000.0,1
BZID-1304376248,1300.0,1
BZID-1304470409,1200.0,1
BZID-1304461744,1300.0,1
BZID-1304476326,3200.0,2
BZID-1304474957,3500.0,1
BZID-1304477165,550.0,1
BZID-1304425216,550.0,1
BZID-1304467486,5300.0,3
BZID-1304473045,8500.0,3
BZID-1304473486,1200.0,1
BZID-1304461326,1300.0,1
BZID-1304449557,1200.0,1
BZID-1304455949,31500.0,2
BZID-1304462202,2250.0,1
BZID-1304465956,550.0,1
BZID-1304468618,32500.0,1
BZID-1304457139,5000.0,1
BZID-1304478939,9000.0,1
BZID-1304467484,7000.0,1
BZID-1304478927,10500.0,1
BZID-1304476960,32500.0,1
BZID-1304469170,3200.0,1
BZID-1304464304,1300.0,1
BZID-1304471353,3750.0,2
BZID-1304477582,2700.0,1
BZID-1304467964,2700.0,1
BZID-1304461350,90000.0,1
BZID-1304443490,2700.0,1
BZID-1304465725,2700.0,1
BZID-1304450232,550.0,1
BZID-1304474526,1200.0,1
BZID-1304463271,1200.0,1
BZID-1304456391,2000.0,1
BZID-1304480227,65000.0,1
BZID-1304467529,5000.0,1
BZID-1304477677,16000.0,1
BZID-1304425799,1200.0,1
BZID-1304473482,1200.0,1
BZID-1304475520,10500.0,1
BZID-1304477397,32500.0,1
BZID-1304457678,550.0,1
BZID-1304475490,4500.0,1
BZID-1304423019,2700.0,1
BZID-1304473271,2700.0,1
BZID-1304465620,24000.0,1
BZID-1304477154,1200.0,1
BZID-1304459936,5700.0,2
BZID-1304465773,3500.0,1
BZID-1304474946,1300.0,1
BZID-1304463744,1300.0,1
BZID-1304468627,9000.0,1
BZID-1304476111,550.0,1
BZID-1304435454,4500.0,1
BZID-1304469208,7100.0,2
BZID-1304436049,550.0,1
BZID-1304458787,1850.0,2
BZID-1304432709,6500.0,2
BZID-1304461901,550.0,1
BZID-1304467174,13500.0,1
BZID-1304460421,9000.0,1
BZID-1304452986,550.0,1
BZID-1304473690,550.0,1
BZID-1304464351,2100.0,1
BZID-1304450540,4500.0,1
BZID-1304476941,1200.0,1
BZID-1304477152,22500.0,2
BZID-1304431032,550.0,1
BZID-1304479419,7500.0,1
BZID-1304458589,5000.0,1
BZID-1304469481,84000.0,1
BZID-1304465533,7900.0,2
BZID-1304466870,5000.0,1
BZID-1304471176,3500.0,1
BZID-1304467649,1200.0,1
BZID-1304478204,550.0,1
BZID-1304469391,3800.0,1
BZID-1304425760,1200.0,1
BZID-1304478047,3800.0,1
BZID-1304442817,1300.0,1
BZID-1304413882,550.0,1
BZID-1304448765,550.0,1
BZID-1304466666,10500.0,1
BZID-1304460997,1200.0,1
BZID-1304470584,3200.0,1
BZID-1304474805,5700.0,2
BZID-1304476216,10500.0,1
BZID-1304463399,550.0,1
BZID-1304464453,7500.0,1
BZID-1304607043,550.0,1
