businessid,total_visits
BZID-1304438339,3
BZID-1304439104,2
BZID-1304439264,2
BZID-1304438505,2
BZID-1304460225,1
BZID-1304603177,1
BZID-1304413782,1
BZID-1304606182,2
BZID-1304409896,2
BZID-1304362721,1
BZID-1304404535,6
BZID-1304364416,1
BZID-1304450256,4
BZID-1304419221,2
BZID-1304413189,2
BZID-1304450750,3
BZID-1304418041,2
BZID-1304478652,1
BZID-1304371810,1
BZID-1304402473,1
BZID-1304373101,3
BZID-1304393441,2
BZID-1304380483,2
BZID-1304401425,1
BZID-1304362950,2
BZID-1304411866,9
BZID-1304362407,2
BZID-1304375333,1
BZID-1304598518,2
BZID-1304424977,1
BZID-1304443440,3
BZID-1304479196,4
BZID-1304410455,4
BZID-1304435683,2
BZID-1304405449,2
BZID-1304424376,2
BZID-1304367431,1
BZID-1304384978,3
BZID-1304414783,1
BZID-1304459777,2
BZID-1304411259,3
BZID-1304420395,1
BZID-1304410295,1
BZID-1304379461,1
BZID-1304419696,1
BZID-1304378439,2
BZID-1304428469,2
BZID-1304406152,4
BZID-1304406832,1
BZID-1304417342,1
BZID-1304387430,2
BZID-1304473364,3
BZID-1304373027,4
BZID-1304415429,2
BZID-1304400207,3
BZID-1304381221,2
BZID-1304456136,1
BZID-1304608879,2
BZID-1304414535,1
BZID-1304380721,1
BZID-1304398863,1
BZID-1304429090,1
BZID-1304447418,2
BZID-1304429473,5
BZID-1304429712,3
BZID-1304469941,1
BZID-1304466474,7
BZID-1304358091,3
BZID-1304362509,2
BZID-1304600404,1
BZID-1304385600,3
BZID-1304411758,1
BZID-1304462442,1
BZID-1304566374,1
BZID-1304402621,2
BZID-1304412573,3
BZID-1304434041,1
BZID-1304423461,1
BZID-1304402795,2
BZID-1304470197,3
BZID-1304390457,1
BZID-1304390465,1
BZID-1304381518,2
BZID-1304402647,4
BZID-1304447727,1
BZID-1304388390,3
BZID-1304409711,4
BZID-1304394713,2
BZID-1304413227,1
BZID-1304388773,1
BZID-1304420537,2
BZID-1304357971,4
BZID-1304382762,2
BZID-1304429892,1
BZID-1304421500,2
BZID-1304387543,1
BZID-1304381435,2
BZID-1304418254,3
BZID-1304431396,1
BZID-1304448506,1
BZID-1304412803,2
BZID-1304412888,2
BZID-1304366203,2
BZID-1304379799,2
BZID-1304388448,2
BZID-1304429092,1
BZID-1304400553,1
BZID-1304457769,2
BZID-1304469024,7
BZID-1304393002,1
BZID-1304363984,2
BZID-1304609876,3
BZID-1304407073,1
BZID-1304399950,1
BZID-1304468615,1
BZID-1304477029,6
BZID-1304380130,1
BZID-1304450299,1
BZID-1304470338,4
BZID-1304415699,3
BZID-1304594732,1
BZID-1304608440,2
BZID-1304388670,2
BZID-1304418696,2
BZID-1304416456,2
BZID-1304396555,2
BZID-1304423971,1
BZID-1304388139,1
BZID-1304371922,2
BZID-1304578125,1
BZID-1304419125,3
BZID-1304435243,1
BZID-1304420708,1
BZID-1304426555,1
BZID-1304590414,1
BZID-1304358686,2
BZID-1304429743,1
BZID-1304436155,4
BZID-1304382447,2
BZID-1304408780,2
BZID-1304419749,1
BZID-1304417206,1
BZID-1304406418,1
BZID-1304362580,5
BZID-1304402182,1
BZID-1304397846,1
BZID-1304422457,2
