businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304377803,30,22,11
BZID-1304350424,27,25,12
BZID-1304471273,44,35,27
BZID-1304416121,50,44,17
BZID-1304457329,54,52,28
BZID-1304479251,38,22,21
BZID-1304465657,56,43,13
BZID-1304435027,52,39,26
BZID-1304397462,47,38,24
BZID-1304459890,36,15,7
BZID-1304472446,56,52,33
BZID-1304578317,45,39,14
BZID-1304440016,54,51,45
BZID-1304455710,59,40,23
BZID-1304478754,58,55,32
BZID-1304473933,61,59,43
BZID-1304464548,63,56,53
BZID-1304441036,58,51,40
BZID-1304402680,60,52,28
BZID-1304428895,14,13,9
BZID-1304395187,58,54,46
BZID-1304456358,63,60,58
BZID-1304472538,62,61,58
BZID-1304434304,45,30,24
BZID-1304472912,51,50,36
BZID-1304446015,40,30,15
BZID-1304425051,21,15,11
BZID-1304575193,35,28,22
BZID-1304574661,25,25,6
BZID-1304429672,60,57,56
BZID-1304460821,58,49,42
BZID-1304406512,48,40,24
BZID-1304430169,14,9,6
BZID-1304370313,4,2,0
BZID-1304606491,29,28,19
BZID-1304596665,17,15,3
BZID-1304429783,38,33,26
BZID-1304474172,59,43,41
BZID-1304393035,54,50,24
BZID-1304350509,6,6,2
BZID-1304407252,33,24,15
BZID-1304477862,61,50,43
BZID-1304435585,44,43,14
BZID-1304396849,33,30,21
BZID-1304393662,18,15,9
BZID-1304414001,16,11,3
BZID-1304408740,60,55,31
BZID-1304609769,29,24,6
BZID-1304415080,42,40,22
BZID-1304435592,33,26,9
BZID-1304369893,54,48,40
BZID-1304605022,29,22,13
BZID-1304402148,25,21,13
BZID-1304399099,63,63,43
BZID-1304369801,36,32,18
BZID-1304465659,62,61,42
BZID-1304605011,53,49,32
BZID-1304464555,61,58,48
BZID-1304424236,15,9,5
BZID-1304607724,10,8,2
BZID-1304437885,39,27,6
BZID-1304479797,63,63,58
BZID-1304466592,51,45,39
BZID-1304380270,53,47,27
BZID-1304372047,38,36,24
BZID-1304446150,43,31,21
BZID-1304426731,54,50,33
BZID-1304378028,25,9,8
BZID-1304474342,53,43,39
BZID-1304363645,46,28,11
BZID-1304408264,63,63,56
BZID-1304375455,20,15,11
BZID-1304357142,48,42,19
BZID-1304377558,49,38,33
BZID-1304598660,47,43,24
BZID-1304362041,59,49,30
BZID-1304397073,36,28,25
BZID-1304464575,63,63,51
BZID-1304417823,62,50,33
